PROJNUM,Total_Terrain_Types,Terrain_Type_List
19971389,2,"riparian, upland"
19971390,2,"riparian, upland"
19971391,2,"riparian, upland"
19971392,3,"instream, riparian, upland"
19971399,3,"riparian, road, wetland"
19971404,3,"instream, riparian, upland"
19971405,3,"instream, riparian, upland"
19971420,2,"riparian, road"
19971421,3,"instream, riparian, road"
19971442,2,"riparian, road"
19971470,2,"passage, road"
19971506,2,"riparian, passage"
19971510,2,"riparian, upland"
19971511,4,"instream, riparian, passage, road"
19971531,2,"passage, road"
19971538,2,"passage, road"
19971539,2,"passage, road"
19971544,2,"instream, riparian"
19971545,2,"instream, riparian"
19971546,2,"instream, riparian"
19971548,2,"instream, riparian"
19971554,2,"instream, riparian"
19971555,2,"instream, riparian"
19971612,3,"instream, riparian, wetland"
19971631,2,"passage, road"
19971635,2,"instream, road"
19971652,2,"passage, road"
19971660,2,"instream, road"
19971666,3,"instream, passage, road"
19971696,2,"instream, road"
19971705,2,"instream, road"
19971711,2,"instream, road"
19972018,2,"passage, road"
19972031,2,"passage, road"
19972049,2,"passage, road"
19972078,2,"passage, road"
19972103,2,"passage, road"
19972107,2,"passage, road"
19972108,2,"passage, road"
19972145,2,"passage, road"
19972147,2,"passage, road"
19972151,2,"passage, road"
19972156,2,"passage, road"
19972178,2,"passage, road"
19980009,5,"instream, riparian, passage, road, upland"
19980016,2,"riparian, upland"
19980019,4,"instream, riparian, road, upland"
19980020,2,"instream, riparian"
19980024,2,"instream, passage"
19980025,2,"instream, passage"
19980026,2,"instream, road"
19980027,2,"instream, road"
19980029,2,"instream, passage"
19980031,2,"passage, road"
19980050,2,"passage, screening"
19980055,2,"riparian, upland"
19980059,2,"riparian, upland"
19980062,2,"riparian, upland"
19980063,2,"riparian, upland"
19980067,2,"riparian, upland"
19980077,2,"passage, road"
19980101,2,"passage, road"
19980102,2,"passage, road"
19980122,2,"instream, road"
19980123,2,"instream, road"
19980129,4,"instream, riparian, upland, wetland"
19980145,2,"riparian, road"
19980171,2,"riparian, upland"
19980173,3,"instream, passage, road"
19980174,2,"instream, riparian"
19980177,3,"instream, passage, road"
19980180,2,"instream, riparian"
19980183,2,"instream, riparian"
19980186,3,"instream, riparian, upland"
19980243,2,"instream, riparian"
19980257,2,"riparian, upland"
19980262,2,"riparian, road"
19980275,2,"instream, riparian"
19980276,3,"instream, riparian, upland"
19980278,3,"instream, riparian, upland"
19980279,3,"instream, riparian, upland"
19980280,2,"instream, riparian"
19980281,3,"instream, riparian, upland"
19980287,3,"instream, riparian, passage"
19980288,3,"instream, riparian, passage"
19980290,3,"instream, riparian, passage"
19980291,3,"instream, riparian, passage"
19980296,2,"instream, riparian"
19980297,3,"instream, riparian, wetland"
19980300,2,"instream, riparian"
19980301,2,"instream, riparian"
19980311,2,"passage, road"
19980317,2,"passage, road"
19980319,2,"instream, road"
19980322,2,"passage, road"
19980324,2,"passage, road"
19980326,2,"passage, road"
19980347,2,"passage, road"
19980364,2,"passage, road"
19980365,2,"passage, road"
19980395,2,"passage, road"
19980430,2,"passage, road"
19980455,2,"passage, road"
19980457,2,"passage, road"
19980458,2,"passage, road"
19980476,4,"instream, riparian, passage, road"
19980483,2,"instream, passage"
19980485,2,"passage, flow"
19980499,2,"passage, road"
19980503,2,"instream, passage"
19980509,2,"passage, road"
19980510,2,"passage, road"
19980516,2,"passage, road"
19980522,2,"riparian, upland"
19980525,2,"riparian, upland"
19980541,2,"instream, riparian"
19980543,2,"instream, riparian"
19980558,2,"passage, road"
19980564,2,"passage, road"
19980576,2,"passage, road"
19980597,2,"passage, road"
19980598,2,"passage, road"
19980599,2,"passage, road"
19980600,2,"riparian, upland"
19980603,2,"riparian, upland"
19980679,2,"passage, road"
19980685,2,"riparian, road"
19980686,3,"riparian, passage, road"
19980690,2,"riparian, road"
19980691,2,"riparian, road"
19980693,2,"riparian, road"
19980694,2,"riparian, road"
19980695,2,"riparian, road"
19980718,2,"passage, road"
19980722,3,"instream, riparian, passage"
19980724,2,"instream, passage"
19980760,2,"passage, road"
19980801,2,"instream, passage"
19980803,4,"instream, riparian, passage, wetland"
19980804,4,"instream, riparian, passage, wetland"
19980805,2,"instream, passage"
19980806,2,"instream, wetland"
19980807,2,"instream, passage"
19980808,4,"instream, riparian, passage, wetland"
19980809,5,"instream, riparian, passage, upland, wetland"
19980811,2,"instream, passage"
19980812,3,"instream, riparian, passage"
19980824,2,"passage, road"
19980825,2,"passage, road"
19980826,2,"passage, road"
19980827,2,"instream, passage"
19980834,2,"passage, road"
19980835,2,"passage, road"
19980837,2,"passage, road"
19980841,2,"passage, road"
19980860,2,"passage, road"
19980866,3,"instream, passage, road"
19980881,3,"instream, passage, road"
19980882,2,"instream, passage"
19980884,3,"instream, passage, road"
19980885,2,"instream, passage"
19980887,2,"instream, passage"
19980888,2,"instream, passage"
19980893,2,"instream, riparian"
19980902,2,"passage, road"
19980904,2,"passage, road"
19980909,2,"passage, road"
19980915,2,"passage, road"
19980916,2,"passage, road"
