PROJNUM,Total_Terrain_Types,Terrain_Type_List
20030772,2,"riparian, wetland"
20030778,2,"riparian, passage"
20030786,2,"riparian, upland"
20030788,2,"riparian, upland"
20030796,4,"passage, upland, screening, flow"
20030797,3,"passage, upland, flow"
20030803,3,"instream, riparian, passage"
20030804,2,"riparian, upland"
20030810,3,"instream, riparian, upland"
20030813,2,"riparian, upland"
20030815,2,"riparian, upland"
20030826,2,"riparian, upland"
20030837,2,"instream, riparian"
20030863,2,"riparian, upland"
20030870,2,"riparian, upland"
20030881,2,"riparian, upland"
20030882,2,"riparian, upland"
20030886,2,"riparian, upland"
20030887,2,"riparian, upland"
20030888,2,"riparian, upland"
20030892,2,"riparian, upland"
20030902,3,"instream, passage, road"
20030908,2,"instream, riparian"
20030921,2,"riparian, road"
20030931,4,"instream, riparian, road, upland"
20030933,2,"riparian, upland"
20030934,2,"riparian, upland"
20030935,2,"passage, road"
20030944,2,"riparian, upland"
20030952,3,"road, upland, wetland"
20030954,3,"instream, riparian, passage"
20030957,2,"instream, riparian"
20030967,2,"riparian, upland"
20030968,2,"riparian, wetland"
20030969,2,"instream, riparian"
20030972,2,"riparian, upland"
20030973,3,"riparian, passage, road"
20030981,4,"instream, riparian, road, upland"
20030982,2,"instream, riparian"
20040002,3,"instream, passage, road"
20040008,2,"instream, passage"
20040012,2,"instream, passage"
20040013,2,"instream, passage"
20040017,2,"instream, passage"
20040018,2,"instream, road"
20040021,4,"instream, riparian, passage, wetland"
20040022,3,"instream, riparian, passage"
20040037,4,"instream, riparian, passage, road"
20040038,2,"instream, riparian"
20040049,2,"passage, wetland"
20040118,2,"passage, road"
20040122,2,"passage, road"
20040127,2,"passage, road"
20040128,2,"passage, road"
20040167,2,"passage, road"
20040170,2,"instream, road"
20040186,2,"passage, road"
20040187,2,"passage, road"
20040195,2,"passage, road"
20040199,2,"passage, road"
20040201,2,"passage, road"
20040203,2,"passage, road"
20040206,2,"passage, road"
20040207,2,"passage, road"
20040208,2,"passage, road"
20040215,2,"passage, road"
20040347,2,"instream, riparian"
20040348,2,"passage, road"
20040367,2,"passage, road"
20040368,2,"riparian, road"
20040370,2,"passage, road"
20040381,2,"passage, road"
20040384,2,"riparian, road"
20040385,2,"instream, riparian"
20040386,2,"riparian, road"
20040387,2,"riparian, road"
20040388,2,"riparian, road"
20040389,2,"riparian, road"
20040393,2,"riparian, road"
20040394,2,"riparian, road"
20040397,2,"riparian, road"
20040398,2,"riparian, road"
20040399,2,"riparian, road"
20040400,2,"riparian, road"
20040401,2,"riparian, road"
20040405,2,"riparian, road"
20040414,2,"passage, road"
20040454,2,"riparian, upland"
20040459,2,"riparian, passage"
20040469,2,"riparian, upland"
20040472,2,"riparian, upland"
20040477,2,"upland, wetland"
20040493,2,"riparian, upland"
20040501,2,"riparian, upland"
20040510,4,"instream, riparian, road, upland"
20040511,2,"riparian, wetland"
20040517,2,"riparian, upland"
20040523,2,"riparian, upland"
20040524,2,"riparian, upland"
20040527,2,"riparian, upland"
20040529,3,"instream, riparian, wetland"
20040531,2,"instream, riparian"
20040535,3,"riparian, upland, wetland"
20040541,2,"riparian, wetland"
20040542,2,"riparian, upland"
20040545,2,"riparian, upland"
20040548,2,"instream, passage"
20040549,2,"riparian, passage"
20040550,2,"instream, wetland"
20040564,2,"instream, riparian"
20040567,2,"instream, riparian"
20040576,2,"instream, riparian"
20040581,2,"instream, riparian"
20040597,2,"instream, riparian"
20040601,2,"instream, road"
20040602,2,"passage, road"
20040603,2,"road, upland"
20040604,2,"road, upland"
20040610,2,"instream, road"
20040614,2,"road, upland"
20040620,2,"passage, road"
20040622,2,"road, upland"
20040623,2,"passage, road"
20040625,2,"upland, wetland"
20040627,2,"instream, riparian"
20040629,2,"instream, riparian"
20040638,2,"riparian, road"
20040640,2,"instream, riparian"
20040642,2,"passage, road"
20040655,2,"instream, upland"
20040667,2,"riparian, upland"
20040680,2,"riparian, upland"
20040705,2,"riparian, upland"
20040718,2,"riparian, upland"
20040734,2,"riparian, upland"
20040738,2,"riparian, upland"
20040745,2,"riparian, upland"
20040749,2,"riparian, upland"
20040752,2,"riparian, upland"
20040770,2,"riparian, upland"
20040772,2,"riparian, upland"
20040773,3,"instream, riparian, upland"
20040776,3,"riparian, upland, wetland"
20040777,2,"riparian, passage"
20040778,3,"instream, riparian, wetland"
20040786,2,"road, upland"
20040788,2,"riparian, upland"
20040797,2,"riparian, wetland"
20040803,2,"instream, riparian"
20040844,2,"passage, estuarine"
20040854,2,"passage, road"
20040887,2,"riparian, passage"
20040888,2,"instream, riparian"
20040889,2,"instream, riparian"
20040898,4,"instream, riparian, passage, road"
20040899,2,"instream, riparian"
20040900,2,"instream, riparian"
20040902,2,"upland, wetland"
20040913,3,"instream, riparian, road"
20040914,2,"instream, riparian"
20040915,2,"riparian, upland"
20040916,2,"instream, riparian"
20040917,2,"instream, riparian"
20040920,2,"riparian, wetland"
20040923,3,"passage, upland, screening"
20040960,2,"passage, road"
20040961,2,"riparian, upland"
20040964,2,"riparian, upland"
20050001,2,"instream, passage"
20050011,2,"instream, riparian"
20050012,2,"instream, riparian"
20050019,2,"instream, riparian"
20050025,2,"instream, riparian"
20050026,4,"instream, riparian, passage, road"
20050027,2,"instream, riparian"
20050028,3,"instream, passage, road"
20050029,2,"instream, passage"
20050032,3,"instream, passage, road"
20050034,2,"instream, passage"
20050046,2,"riparian, estuarine"
20050053,2,"instream, riparian"
20050056,2,"instream, riparian"
20050059,2,"instream, riparian"
20050064,2,"instream, riparian"
20050071,2,"instream, riparian"
20050072,2,"instream, riparian"
20050083,2,"instream, riparian"
20050144,2,"riparian, road"
20050146,2,"riparian, road"
20050193,2,"passage, road"
20050194,2,"passage, road"
20050195,2,"passage, road"
20050196,2,"passage, road"
20050246,2,"passage, road"
20050247,2,"passage, road"
20050249,2,"passage, road"
20050261,2,"passage, road"
20050265,2,"passage, road"
20050287,2,"passage, road"
20050292,2,"passage, road"
20050293,2,"passage, road"
20050318,2,"riparian, wetland"
20050445,2,"instream, estuarine"
20050457,2,"passage, road"
20050461,2,"instream, riparian"
20050463,3,"instream, riparian, road"
20050464,2,"instream, riparian"
20050465,2,"instream, riparian"
20050466,2,"instream, riparian"
20050491,2,"riparian, upland"
20050497,2,"riparian, upland"
20050498,3,"riparian, upland, wetland"
20050518,2,"passage, screening"
20050521,2,"instream, riparian"
20050524,2,"riparian, upland"
20050525,2,"riparian, upland"
20050526,2,"instream, riparian"
20050527,2,"riparian, passage"
20050529,2,"instream, riparian"
20050530,2,"riparian, upland"
20050531,2,"riparian, upland"
20050535,2,"riparian, upland"
20050546,2,"instream, wetland"
20050563,2,"riparian, upland"
20050564,2,"riparian, upland"
20050585,2,"riparian, upland"
20050586,2,"riparian, upland"
20050587,2,"riparian, wetland"
20050595,2,"instream, riparian"
20050631,2,"instream, upland"
20050634,2,"instream, upland"
20050656,2,"riparian, upland"
20050657,3,"riparian, upland, wetland"
20050659,2,"riparian, upland"
20050661,2,"road, upland"
20050662,2,"instream, riparian"
20050697,2,"instream, riparian"
20050698,3,"instream, riparian, upland"
20050699,2,"instream, riparian"
20050701,2,"instream, riparian"
20050702,2,"instream, riparian"
20050708,2,"riparian, upland"
20050711,2,"passage, upland"
20050721,3,"instream, riparian, upland"
20050722,2,"instream, riparian"
20050723,2,"instream, riparian"
20050724,2,"instream, riparian"
20050725,3,"instream, riparian, wetland"
20050726,2,"instream, riparian"
20050727,2,"instream, riparian"
20050728,3,"instream, riparian, passage"
20050729,2,"instream, riparian"
20050730,2,"instream, riparian"
20050731,2,"instream, passage"
20050734,2,"instream, riparian"
20050740,2,"riparian, passage"
20050741,4,"instream, riparian, upland, flow"
20050748,3,"riparian, road, upland"
20050750,4,"instream, riparian, passage, screening"
20050752,3,"riparian, road, upland"
20050754,3,"road, upland, wetland"
20050762,2,"road, upland"
20050764,2,"riparian, upland"
20050766,3,"instream, riparian, upland"
20050770,2,"riparian, upland"
20050773,2,"instream, riparian"
20050775,2,"passage, screening"
20050776,2,"upland, flow"
20050777,2,"road, upland"
20050781,2,"riparian, upland"
20050797,2,"instream, riparian"
20050798,2,"instream, riparian"
20050799,2,"passage, screening"
20050800,2,"passage, screening"
20050807,2,"passage, road"
20050825,2,"riparian, upland"
20050828,2,"riparian, upland"
20050829,3,"passage, upland, screening"
20050831,2,"riparian, upland"
20050832,2,"riparian, upland"
20060016,2,"passage, upland"
20060017,4,"instream, riparian, passage, road"
20060067,4,"instream, riparian, passage, road"
20060152,2,"passage, road"
20060156,2,"riparian, road"
20060157,2,"riparian, road"
20060158,2,"riparian, road"
20060160,2,"riparian, road"
20060162,2,"riparian, road"
20060163,2,"riparian, road"
20060187,2,"passage, road"
20060228,2,"passage, road"
20060230,2,"passage, road"
20060232,2,"passage, road"
20060233,2,"passage, road"
20060234,2,"passage, road"
20060237,2,"passage, road"
20060238,2,"passage, road"
20060240,2,"passage, road"
20060242,2,"passage, road"
20060243,2,"passage, road"
20060301,3,"riparian, upland, wetland"
20060307,3,"instream, riparian, passage"
20060349,2,"riparian, passage"
20060386,2,"passage, road"
20060417,2,"passage, road"
20060429,3,"instream, riparian, passage"
20060434,2,"riparian, passage"
20060444,3,"instream, riparian, upland"
20060464,2,"instream, riparian"
20060466,2,"riparian, passage"
20060467,2,"instream, riparian"
20060471,2,"instream, riparian"
20060479,2,"riparian, passage"
20060485,2,"riparian, upland"
20060494,2,"riparian, wetland"
20060513,2,"riparian, upland"
20060529,2,"passage, road"
20060532,2,"riparian, upland"
20060546,4,"instream, riparian, road, upland"
20060549,3,"instream, riparian, upland"
20060550,2,"instream, riparian"
20060551,3,"instream, riparian, upland"
20060552,2,"instream, riparian"
20060553,2,"riparian, upland"
20060555,3,"riparian, passage, road"
20060561,2,"instream, riparian"
20060587,2,"riparian, upland"
20060591,2,"riparian, upland"
20060599,3,"passage, upland, screening"
20060600,2,"upland, screening"
20060602,2,"riparian, upland"
20060631,2,"riparian, upland"
20060637,2,"instream, riparian"
20060639,2,"instream, riparian"
20060644,3,"instream, riparian, passage"
20060645,2,"riparian, upland"
20060658,2,"instream, passage"
20060659,2,"instream, passage"
20060664,2,"riparian, passage"
20060681,2,"riparian, wetland"
20060682,2,"riparian, upland"
20060689,2,"riparian, road"
20060692,2,"instream, passage"
20060693,2,"instream, passage"
20060707,2,"riparian, upland"
20060708,2,"upland, wetland"
20060710,2,"riparian, upland"
20060719,2,"instream, riparian"
20060730,2,"riparian, upland"
20060757,2,"instream, wetland"
20060759,2,"riparian, upland"
20060774,2,"riparian, upland"
20060775,2,"passage, upland"
20060777,3,"passage, upland, screening"
20060784,3,"instream, riparian, passage"
20060785,3,"instream, riparian, road"
20060802,2,"riparian, wetland"
20060803,2,"riparian, upland"
20060923,2,"riparian, road"
20060924,2,"riparian, road"
20060925,2,"riparian, road"
20060926,2,"riparian, road"
20060927,2,"riparian, road"
20060928,2,"riparian, road"
20060929,2,"riparian, road"
20060930,2,"riparian, road"
20060932,3,"instream, riparian, road"
20060933,2,"riparian, road"
20060934,2,"riparian, road"
20060935,2,"riparian, road"
20060936,2,"riparian, road"
20060937,2,"riparian, road"
20060938,2,"riparian, road"
20060939,2,"riparian, road"
20060940,2,"riparian, road"
20060941,2,"riparian, road"
20060944,2,"instream, riparian"
20060945,2,"riparian, upland"
20060955,2,"passage, upland"
20060956,2,"riparian, upland"
20060958,2,"riparian, upland"
20060964,3,"instream, riparian, wetland"
20060965,3,"instream, riparian, passage"
20060966,3,"instream, riparian, upland"
20060967,2,"riparian, upland"
20061076,2,"instream, riparian"
20061077,3,"riparian, wetland, screening"
20061078,2,"riparian, upland"
20061079,2,"riparian, upland"
20061080,3,"instream, riparian, upland"
20061081,3,"instream, riparian, upland"
20070004,2,"instream, passage"
20070010,2,"instream, road"
20070017,2,"instream, riparian"
20070026,2,"instream, passage"
20070028,3,"instream, passage, road"
20070030,2,"instream, riparian"
20070039,2,"passage, road"
20070044,3,"instream, riparian, upland"
20070047,2,"passage, road"
20070062,2,"upland, wetland"
20070073,2,"riparian, road"
20070084,2,"riparian, road"
20070086,2,"riparian, upland"
20070092,2,"passage, road"
20070106,4,"instream, passage, road, estuarine"
20070107,2,"instream, road"
20070111,2,"instream, riparian"
20070113,2,"instream, passage"
20070123,2,"instream, riparian"
20070126,2,"upland, wetland"
20070127,3,"instream, passage, screening"
20070128,2,"riparian, upland"
20070131,2,"instream, riparian"
20070209,2,"instream, road"
20070265,2,"passage, road"
20070266,2,"passage, road"
20070267,2,"passage, road"
20070356,2,"instream, passage"
20070357,2,"passage, road"
20070358,2,"passage, road"
20070429,2,"instream, riparian"
20070430,3,"riparian, passage, wetland"
20070468,2,"instream, riparian"
20070473,4,"instream, riparian, upland, screening"
20070474,4,"instream, riparian, upland, screening"
20070479,3,"instream, riparian, passage"
20070482,2,"riparian, passage"
20070483,2,"instream, riparian"
20070486,2,"instream, upland"
20070487,5,"instream, riparian, passage, upland, screening"
20070489,2,"instream, riparian"
20070492,2,"riparian, upland"
20070512,2,"riparian, upland"
20070537,2,"instream, riparian"
20070539,2,"riparian, upland"
20070540,2,"instream, riparian"
20070541,3,"instream, riparian, upland"
20070542,2,"riparian, upland"
20070547,2,"instream, passage"
20070551,2,"riparian, upland"
20070553,4,"instream, riparian, passage, wetland"
20070557,2,"riparian, upland"
20070564,2,"instream, riparian"
20070565,2,"riparian, upland"
20070566,2,"instream, riparian"
20070567,2,"riparian, upland"
20070573,2,"riparian, upland"
20070578,3,"instream, riparian, upland"
20070589,2,"upland, wetland"
20070595,2,"riparian, urban"
20070596,2,"upland, wetland"
20070602,2,"riparian, upland"
20070605,2,"riparian, upland"
20070606,3,"instream, riparian, upland"
20070621,2,"riparian, upland"
20070622,2,"riparian, upland"
20070634,3,"instream, passage, road"
20070635,3,"riparian, passage, road"
20070637,2,"riparian, road"
20070641,3,"instream, passage, road"
20070649,2,"riparian, upland"
20070652,4,"instream, passage, screening, flow"
20070693,3,"instream, passage, upland"
20070715,2,"instream, riparian"
20070727,2,"passage, upland"
20070729,2,"passage, road"
20070730,3,"passage, upland, screening"
20070734,2,"riparian, upland"
20070735,3,"instream, riparian, passage"
20070743,2,"instream, riparian"
20070753,2,"riparian, wetland"
20070754,4,"instream, riparian, passage, estuarine"
20070755,2,"instream, passage"
20070756,3,"riparian, wetland, urban"
20070757,3,"instream, riparian, wetland"
20070758,4,"instream, passage, upland, screening"
20070768,2,"instream, riparian"
20070769,3,"instream, riparian, passage"
20070772,2,"instream, riparian"
20070774,3,"instream, riparian, wetland"
20070775,2,"riparian, upland"
20070779,2,"passage, screening"
20070780,3,"instream, riparian, wetland"
20070801,2,"passage, wetland"
20070853,2,"riparian, road"
20070855,2,"riparian, road"
20080004,2,"riparian, upland"
20080017,2,"riparian, upland"
20080022,2,"riparian, upland"
20080023,2,"riparian, upland"
20080070,3,"instream, riparian, passage"
20080073,2,"riparian, upland"
20080074,2,"instream, riparian"
20080082,3,"instream, riparian, passage"
20080083,2,"upland, flow"
20080093,2,"riparian, upland"
20080095,3,"instream, riparian, passage"
20080110,2,"instream, riparian"
20080111,3,"instream, riparian, wetland"
20080119,2,"riparian, upland"
20080121,2,"upland, wetland"
20080123,2,"riparian, upland"
20080134,2,"instream, riparian"
20080136,2,"riparian, upland"
20080137,3,"passage, upland, screening"
20080138,2,"upland, screening"
20080141,2,"riparian, passage"
20080149,2,"instream, passage"
20080171,2,"passage, screening"
20080178,2,"passage, screening"
20080183,3,"instream, passage, road"
20080184,2,"instream, passage"
20080201,2,"riparian, upland"
20080202,2,"riparian, upland"
20080205,3,"instream, riparian, passage"
20080213,2,"instream, riparian"
20080215,2,"instream, riparian"
20080218,4,"instream, riparian, passage, road"
20080220,3,"instream, riparian, wetland"
20080222,2,"upland, flow"
20080225,2,"instream, passage"
20080249,2,"upland, urban"
20080251,4,"instream, riparian, passage, road"
20080303,2,"instream, passage"
20080306,2,"instream, riparian"
20080307,2,"riparian, upland"
20080309,2,"upland, flow"
20080311,2,"riparian, passage"
20080313,2,"instream, passage"
20080318,3,"instream, riparian, passage"
20080322,3,"instream, riparian, road"
20080330,3,"passage, upland, screening"
20080331,2,"riparian, upland"
20080332,3,"riparian, passage, upland"
20080333,2,"riparian, passage"
20080338,2,"instream, passage"
20080343,2,"riparian, wetland"
20080345,2,"road, upland"
20080346,3,"instream, riparian, passage"
20080347,3,"instream, riparian, upland"
20080348,3,"riparian, passage, upland"
20080349,2,"riparian, passage"
20080379,2,"riparian, upland"
20080382,2,"passage, road"
20080424,4,"instream, riparian, upland, wetland"
20080427,2,"riparian, road"
20080450,2,"instream, riparian"
20080454,2,"riparian, upland"
20080469,3,"instream, riparian, road"
20080472,2,"passage, road"
20080495,2,"riparian, upland"
20080503,2,"instream, riparian"
20080519,2,"upland, flow"
20080520,2,"instream, riparian"
20080521,2,"riparian, upland"
20080522,2,"riparian, upland"
20080524,4,"instream, riparian, passage, upland"
20080527,4,"instream, riparian, passage, urban"
20080531,3,"instream, riparian, wetland"
20080533,2,"instream, riparian"
20080541,2,"instream, riparian"
20080553,3,"instream, riparian, road"
20080562,2,"instream, riparian"
20080567,4,"instream, riparian, passage, upland"
20080568,3,"instream, passage, road"
20080569,2,"riparian, road"
20080570,3,"instream, riparian, road"
20080572,2,"instream, passage"
20080574,3,"instream, riparian, passage"
20080576,2,"instream, riparian"
20080577,3,"instream, riparian, wetland"
20080578,3,"instream, riparian, road"
20080589,2,"riparian, passage"
20080600,2,"passage, road"
20080601,2,"passage, road"
20080610,2,"riparian, upland"
20080617,2,"instream, road"
20080634,2,"riparian, passage"
20080655,4,"instream, riparian, wetland, urban"
20080657,3,"riparian, road, upland"
20080662,2,"passage, upland"
20080669,2,"instream, riparian"
20080687,2,"instream, riparian"
20080694,2,"passage, road"
20080696,2,"passage, road"
20080697,2,"passage, road"
20080698,2,"passage, road"
20080702,2,"passage, road"
20080719,2,"instream, riparian"
20080722,2,"riparian, upland"
20080723,2,"riparian, upland"
20080724,2,"riparian, upland"
20080725,2,"riparian, upland"
20080726,2,"riparian, upland"
20080727,3,"instream, riparian, passage"
20080730,2,"instream, riparian"
20080731,4,"instream, riparian, upland, wetland"
20090002,2,"riparian, upland"
20090007,3,"instream, riparian, wetland"
20090024,3,"passage, upland, screening"
20090055,2,"passage, road"
20090069,2,"riparian, upland"
20090071,2,"instream, riparian"
20090075,3,"instream, riparian, wetland"
20090084,2,"instream, riparian"
20090085,2,"instream, riparian"
20090090,2,"riparian, upland"
20090094,2,"passage, road"
20090102,3,"instream, riparian, passage"
20090103,2,"riparian, upland"
20090108,3,"instream, riparian, passage"
20090110,2,"instream, riparian"
20090111,2,"riparian, upland"
20090116,2,"riparian, upland"
20090124,2,"upland, flow"
20090126,2,"riparian, upland"
20090132,3,"instream, riparian, wetland"
20090136,2,"instream, riparian"
20090143,3,"instream, riparian, wetland"
20090151,3,"instream, riparian, passage"
20090164,2,"instream, passage"
20090168,3,"instream, riparian, passage"
20090189,2,"instream, riparian"
20090193,2,"instream, road"
20090197,2,"instream, riparian"
20090203,2,"instream, riparian"
20090206,2,"riparian, upland"
20090215,2,"instream, riparian"
20090219,2,"riparian, upland"
20090242,2,"instream, passage"
20090246,3,"instream, riparian, passage"
20090247,2,"passage, upland"
20090250,2,"instream, riparian"
20090253,2,"riparian, upland"
20090268,2,"upland, wetland"
20090271,2,"instream, riparian"
20090273,3,"riparian, passage, upland"
20090300,2,"instream, riparian"
20090302,2,"riparian, upland"
20090325,2,"riparian, upland"
20090326,2,"riparian, passage"
20090327,3,"riparian, passage, upland"
20090336,2,"passage, estuarine"
20090340,2,"riparian, upland"
20090341,2,"passage, upland"
20090344,2,"instream, riparian"
20090373,2,"instream, riparian"
20090375,2,"passage, road"
20090409,2,"passage, road"
20090411,2,"passage, screening"
20090424,2,"instream, passage"
20090428,4,"instream, riparian, passage, upland"
20090434,2,"riparian, road"
20090456,2,"upland, wetland"
20090457,2,"instream, road"
20090471,2,"instream, riparian"
20090474,2,"passage, urban"
20090535,2,"instream, riparian"
20090538,3,"instream, passage, road"
20090544,2,"instream, passage"
20090550,2,"passage, road"
20090551,2,"instream, passage"
20090554,2,"instream, riparian"
20090556,3,"riparian, upland, wetland"
20090558,2,"riparian, upland"
20090584,5,"instream, riparian, passage, wetland, flow"
20090585,2,"instream, riparian"
20090586,2,"instream, riparian"
20090592,2,"passage, road"
20090617,2,"instream, riparian"
20090618,2,"instream, passage"
20090622,2,"riparian, upland"
20090626,2,"riparian, upland"
20090627,2,"riparian, upland"
20090630,2,"riparian, upland"
20090632,2,"riparian, upland"
20090653,2,"passage, upland"
20090654,2,"instream, riparian"
20090660,2,"instream, riparian"
20090668,2,"riparian, upland"
20090670,2,"instream, riparian"
20090673,2,"riparian, road"
20090674,2,"instream, riparian"
20090675,2,"instream, riparian"
20100007,2,"riparian, upland"
20100011,3,"passage, road, upland"
20100012,3,"instream, riparian, upland"
20100037,3,"instream, riparian, road"
20100038,2,"riparian, road"
20100040,2,"riparian, wetland"
20100057,3,"instream, riparian, wetland"
20100058,2,"riparian, road"
20100059,3,"instream, riparian, passage"
20100065,2,"passage, screening"
20100068,2,"riparian, wetland"
20100071,3,"riparian, road, upland"
20100073,2,"upland, wetland"
20100075,2,"instream, riparian"
20100092,3,"instream, riparian, upland"
20100093,2,"instream, riparian"
20100102,2,"instream, riparian"
20100107,2,"riparian, wetland"
20100111,2,"instream, screening"
20100134,2,"instream, passage"
20100155,2,"riparian, upland"
20100158,2,"instream, passage"
20100165,3,"instream, riparian, passage"
20100173,2,"riparian, upland"
20100178,2,"instream, riparian"
20100179,2,"instream, road"
20100187,2,"passage, road"
20100188,2,"passage, road"
20100190,4,"riparian, passage, wetland, estuarine"
20100191,2,"passage, estuarine"
20100193,2,"instream, passage"
20100194,2,"instream, passage"
20100195,2,"instream, passage"
20100196,3,"instream, passage, upland"
20100199,2,"instream, riparian"
20100201,2,"instream, upland"
20100210,2,"instream, riparian"
20100214,3,"instream, passage, road"
20100221,2,"instream, riparian"
20100222,2,"riparian, upland"
20100224,2,"passage, upland"
20100225,2,"instream, passage"
20100226,2,"riparian, upland"
20100228,3,"instream, riparian, passage"
20100231,2,"riparian, upland"
20100248,2,"instream, riparian"
20100251,3,"instream, riparian, passage"
20100254,2,"instream, riparian"
20100259,3,"instream, riparian, passage"
20100282,2,"riparian, upland"
20100283,2,"instream, riparian"
20100285,2,"passage, upland"
20100295,3,"instream, riparian, passage"
20100306,4,"instream, riparian, passage, screening"
20100340,3,"riparian, road, upland"
20100342,2,"riparian, passage"
20100347,2,"instream, riparian"
20100350,2,"instream, upland"
20100354,2,"instream, upland"
20100362,2,"passage, screening"
20100377,2,"riparian, passage"
20100379,3,"instream, riparian, road"
20100384,3,"instream, riparian, passage"
20100391,2,"instream, passage"
20100395,3,"instream, riparian, wetland"
20100397,2,"instream, riparian"
20100398,2,"riparian, passage"
20100401,2,"instream, riparian"
20100410,3,"instream, riparian, passage"
20100411,2,"instream, passage"
20100414,2,"instream, passage"
20100416,2,"upland, wetland"
20100419,2,"instream, riparian"
20100422,2,"instream, riparian"
20100423,2,"instream, riparian"
20100424,2,"instream, riparian"
20100428,2,"instream, riparian"
20100429,2,"instream, riparian"
20100430,2,"instream, riparian"
20100433,2,"instream, riparian"
20100434,2,"instream, riparian"
20100436,2,"instream, riparian"
20100439,2,"instream, riparian"
20100442,2,"instream, riparian"
20100446,2,"riparian, upland"
20100447,2,"riparian, road"
20100462,2,"instream, riparian"
20100463,2,"instream, upland"
20100467,2,"instream, passage"
20100470,2,"instream, riparian"
20100474,2,"instream, riparian"
20100476,2,"instream, riparian"
20100486,2,"riparian, road"
20100487,2,"riparian, road"
20100488,2,"instream, riparian"
20100489,3,"instream, riparian, road"
20100499,5,"riparian, passage, upland, screening, flow"
20100506,2,"passage, screening"
20100507,2,"wetland, estuarine"
20100508,2,"instream, riparian"
20100511,2,"instream, riparian"
20100526,3,"instream, riparian, passage"
20100543,2,"passage, upland"
20100583,5,"instream, riparian, passage, road, upland"
20100592,2,"passage, road"
20100612,2,"riparian, upland"
20100615,2,"upland, wetland"
20100617,2,"upland, wetland"
20100622,2,"instream, passage"
20100623,2,"riparian, upland"
20100628,2,"riparian, wetland"
20100668,2,"passage, road"
20110013,3,"instream, riparian, road"
20110029,2,"riparian, upland"
20110034,2,"riparian, upland"
20110035,2,"riparian, upland"
20110041,2,"passage, wetland"
20110042,2,"upland, urban"
20110079,2,"riparian, upland"
20110080,2,"instream, passage"
20110089,3,"instream, road, upland"
20110092,2,"instream, riparian"
20110095,2,"instream, riparian"
20110096,2,"riparian, upland"
20110097,3,"instream, passage, road"
20110108,2,"riparian, upland"
20110109,2,"instream, riparian"
20110113,4,"instream, riparian, passage, road"
20110114,3,"instream, riparian, passage"
20110117,3,"passage, upland, screening"
20110118,4,"instream, riparian, passage, road"
20110119,3,"riparian, passage, road"
20110120,2,"riparian, upland"
20110131,2,"instream, riparian"
20110140,2,"instream, riparian"
20110143,2,"screening, flow"
20110144,2,"instream, riparian"
20110150,2,"riparian, upland"
20110155,2,"instream, riparian"
20110156,2,"riparian, passage"
20110162,2,"instream, riparian"
20110175,2,"riparian, upland"
20110178,2,"riparian, upland"
20110179,3,"instream, riparian, passage"
20110182,3,"instream, riparian, passage"
20110183,2,"riparian, upland"
20110184,2,"riparian, upland"
20110185,2,"riparian, upland"
20110187,2,"riparian, upland"
20110188,2,"instream, upland"
20110191,3,"instream, riparian, passage"
20110193,2,"instream, riparian"
20110201,2,"riparian, upland"
20110202,2,"upland, wetland"
20110211,2,"instream, riparian"
20110216,2,"riparian, passage"
20110222,5,"instream, riparian, passage, upland, wetland"
20110223,2,"instream, wetland"
20110224,2,"riparian, upland"
20110225,2,"instream, passage"
20110228,4,"instream, riparian, upland, wetland"
20110230,4,"instream, riparian, upland, wetland"
20110233,2,"upland, wetland"
20110234,2,"riparian, wetland"
20110235,2,"upland, wetland"
20110236,2,"riparian, wetland"
20110240,6,"instream, riparian, passage, upland, wetland, urban"
20110263,3,"instream, riparian, passage"
20110265,4,"instream, riparian, passage, screening"
20110269,2,"upland, flow"
20110271,2,"riparian, upland"
20110272,2,"upland, wetland"
20110274,2,"upland, wetland"
20110275,2,"riparian, wetland"
20110281,2,"riparian, upland"
20110298,2,"instream, passage"
20110309,2,"passage, upland"
20110314,2,"instream, estuarine"
20110317,3,"instream, riparian, wetland"
20110318,2,"instream, riparian"
20110320,4,"instream, riparian, passage, road"
20110326,3,"instream, riparian, passage"
20110327,2,"instream, riparian"
20110344,2,"riparian, upland"
20110352,3,"riparian, upland, wetland"
20110355,4,"instream, riparian, upland, wetland"
20110369,2,"instream, riparian"
20110372,2,"passage, road"
20110398,2,"passage, road"
20110399,2,"passage, upland"
20110401,2,"riparian, upland"
20110402,2,"riparian, upland"
20110408,2,"riparian, upland"
20110410,3,"instream, riparian, passage"
20110415,2,"riparian, upland"
20110419,4,"instream, riparian, passage, wetland"
20110470,2,"riparian, road"
20110474,2,"riparian, road"
20110483,2,"instream, riparian"
20110491,2,"instream, riparian"
20110492,2,"instream, riparian"
20110493,2,"instream, riparian"
20110497,2,"passage, screening"
20110512,2,"passage, road"
20110514,2,"passage, road"
20110515,2,"instream, riparian"
20110517,2,"instream, passage"
20120001,2,"riparian, passage"
20120002,2,"instream, passage"
20120006,2,"passage, flow"
20120011,3,"instream, riparian, road"
20120014,2,"riparian, passage"
20120016,3,"instream, riparian, upland"
20120023,2,"riparian, upland"
20120024,2,"riparian, upland"
20120054,2,"instream, riparian"
20120069,3,"riparian, passage, upland"
20120099,2,"instream, riparian"
20120109,2,"riparian, upland"
20120114,2,"upland, wetland"
20120116,2,"instream, riparian"
20120121,2,"instream, riparian"
