PROJNUM,ActivityType
19970776,Riparian
19970777,Riparian
19970778,Riparian
19970779,Riparian
19970780,Riparian
19970781,Riparian
19970782,Riparian
19970783,Riparian
19970784,Riparian
19970785,Riparian
19970786,Riparian
19970787,Riparian
19970788,Riparian
19970789,Riparian
19970790,Riparian
19970791,Riparian
19970792,Riparian
19970793,Riparian
19970794,Riparian
19970795,Riparian
19970796,Riparian
19970797,Riparian
19970798,Riparian
19970799,Riparian
19970800,Riparian
19970801,Riparian
19970802,Riparian
19970803,Riparian
19970804,Riparian
19970805,Riparian
19970806,Riparian
19970807,Riparian
19970809,Riparian
19970810,Riparian
19970811,Riparian
19970812,Riparian
19970813,Riparian
19970814,Riparian
19970815,Riparian
19970816,Riparian
19970817,Riparian
19970818,Riparian
19970819,Riparian
19970820,Riparian
19970821,Riparian
19970822,Riparian
19970823,Riparian
19970824,Riparian
19970825,Riparian
19970826,Riparian
19970827,Riparian
19970828,Riparian
19970829,Riparian
19970830,Riparian
19970831,Riparian
19970832,Riparian
19970833,Riparian
19970834,Riparian
19970835,Riparian
19970836,Riparian
19970837,Riparian
19970838,Riparian
19970839,Riparian
19970840,Riparian
19970841,Riparian
19970842,Riparian
19970843,Riparian
19970844,Riparian
19970845,Road
19970846,Combined
19970847,Road
19970848,Road
19970849,Road
19970850,Road
19970851,Road
19970852,Road
19970853,Road
19970854,Road
19970855,Road
19970856,Road
19970857,Riparian
19970858,Riparian
19970859,Riparian
19970860,Riparian
19970861,Riparian
19970862,Riparian
19970863,Road
19970864,Road
19970865,Road
19970866,Road
19970867,Road
19970868,Road
19970869,Road
19970870,Road
19970871,Road
19970872,Road
19970873,Road
19970874,Combined
19970875,Combined
19970876,Riparian
19970877,Riparian
19970878,Riparian
19970879,Riparian
19970880,Riparian
19970881,Riparian
19970882,Riparian
19970883,Riparian
19970884,Riparian
19970885,Riparian
19970886,Riparian
19970887,Riparian
19970888,Riparian
19970889,Riparian
19970892,Fish Passage
19970893,Instream
19970894,Instream
19970895,Instream
19970896,Riparian
19970897,Combined
19970900,Riparian
19970901,Road
19970902,Road
19970904,Road
19970905,Fish Passage
19970906,Fish Passage
19970907,Fish Passage
19970908,Fish Passage
19970909,Fish Passage
19970910,Fish Passage
19970911,Fish Passage
19970912,Fish Passage
19970913,Fish Passage
19970914,Fish Passage
19970915,Fish Passage
19970916,Fish Passage
19970917,Fish Passage
19970918,Fish Passage
19970919,Fish Passage
19970920,Road
19970921,Road
19970922,Fish Passage
19970923,Fish Passage
19970924,Fish Passage
19970925,Road
19970926,Fish Passage
19970927,Fish Passage
19970928,Fish Passage
19970929,Fish Passage
19970930,Fish Passage
19970931,Road
19970932,Road
19970933,Fish Passage
19970934,Riparian
19970935,Riparian
19970936,Riparian
19970937,Riparian
19970938,Riparian
19970939,Riparian
19970940,Riparian
19970941,Riparian
19970942,Riparian
19970943,Riparian
19970944,Riparian
19970945,Riparian
19970946,Riparian
19970947,Riparian
19970948,Riparian
19970949,Riparian
19970950,Riparian
19970951,Riparian
19970952,Riparian
19970953,Riparian
19970954,Riparian
19970955,Riparian
19970956,Riparian
19970957,Riparian
19970958,Riparian
19970959,Riparian
19970959,Road
19970960,Riparian
19970961,Riparian
19970962,Riparian
19970963,Riparian
19970964,Riparian
19970965,Riparian
19970966,Riparian
19970967,Riparian
19970968,Riparian
19970969,Riparian
19970970,Riparian
19970971,Riparian
19970972,Riparian
19970973,Riparian
19970974,Riparian
19970975,Riparian
19970976,Riparian
19970977,Riparian
19970978,Riparian
19970979,Riparian
19970980,Riparian
19970981,Riparian
19970982,Riparian
19970983,Riparian
19970984,Riparian
19970985,Riparian
19970986,Riparian
19970987,Riparian
19970988,Road
19970989,Road
19970992,Riparian
19970993,Road
19970994,Combined
19970995,Combined
19970996,Instream Flow
19970997,Combined
19970998,Fish Passage
19970999,Instream
19971000,Riparian
19971001,Combined
19971002,Combined
19971003,Riparian
19971004,Combined
19971006,Combined
19971007,Instream
19971008,Instream
19971009,Fish Passage
19971010,Combined
19971011,Fish Passage
19971012,Instream
19971013,Instream
19971014,Instream
19971015,Instream
19971016,Instream
19971017,Instream
19971018,Riparian
19971019,Instream
19971020,Combined
19971021,Instream
19971022,Instream
19971022,Fish Passage
19971023,Fish Passage
19971023,Road
19971024,Fish Passage
19971025,Instream
19971026,Fish Passage
19971027,Instream
19971028,Fish Passage
19971029,Fish Passage
19971030,Instream
19971031,Combined
19971032,Instream
19971033,Instream
19971034,Instream
19971035,Fish Passage
19971036,Instream
19971037,Combined
19971038,Combined
19971039,Combined
19971040,Combined
19971041,Instream
19971042,Road
19971043,Fish Passage
19971044,Road
19971045,Combined
19971046,Instream
19971047,Combined
19971048,Combined
19971049,Riparian
19971050,Instream
19971050,Riparian
19971050,Fish Passage
19971050,Road
19971051,Combined
19971052,Combined
19971053,Combined
19971054,Combined
19971055,Combined
19971056,Combined
19971057,Fish Passage
19971057,Road
19971058,Combined
19971059,Combined
19971060,Fish Passage
19971061,Instream
19971062,Riparian
19971063,Riparian
19971065,Riparian
19971066,Combined
19971067,Instream
19971068,Instream
19971069,Fish Passage
19971069,Road
19971071,Instream
