PROJNUM,NameType
19970041,"['each project participant has another record this record lists multiple funding sources with that could not be separated out (several participants, but funding not separated)', 'city of salem public works (city)', 'nichole building inc (contractor)', 'multi tech engineering (contractor)', 'mckinley elementary school (educational institution/school)', 'marion swcd (Soil & Water Conservation District)', 'odfw (state agency/university or jobs program (or ownership))', 'supra products inc (local business)', 'dsl (state agency/university or jobs program (or ownership))']"
19970042,"['osu extension service (Extension Service (e.g. OSU Extension))', 'pringle creek wc north santiam wc (watershed council)', 'city of salem public works (city)', 'mitsubishi silicon america inc (local business)', 'city of salem public works (city)', 'ch2m hill (contractor)', 'osu extension service (Extension Service (e.g. OSU Extension))', 'mcnary high school (educational institution/school)', 'cascade landscape management inc (contractor)', 'salem downtown rotary (local organization or jobs program (e.g. grassroots, local focus))', 'mahonia vineyards and nursery (local business)', 'seven oaks native nursery (local business)', 'citizen volunteers (volunteer)']"
19970043,"['giustina resources (private forest industrial landowner)', 'brink bros logging inc (contractor)']"
19970044,"['giustina resources (private forest industrial landowner)', 'brink bros logging inc (contractor)']"
19970045,"['hamlin and sons road construction (contractor)', 'giustina resources (private forest industrial landowner)']"
19970046,"['hamlin and sons road construction (contractor)', 'giustina resources (private forest industrial landowner)', 'odf (state agency/university or jobs program (or ownership))']"
19970047,"['dsl (state agency/university or jobs program (or ownership))', 'private landowner (private non-industrial landowner)', 'upper nehalem watershed council (watershed council)', 'odfw (state agency/university or jobs program (or ownership))', 'odf (state agency/university or jobs program (or ownership))', 'private landowners adjoining (private non-industrial landowner)', 'izaak walton league (conservation group)']"
19970053,"['nestucca watershed council (watershed council)', 'usfs (federal agency or jobs program (or ownership))']"
19970055,"['usfs (federal agency or jobs program (or ownership))', 'nestucca watershed council (watershed council)']"
19970072,"['nrcs (federal agency or jobs program (or ownership))', 'swcd (Soil & Water Conservation District)', 'private landowner (private non-industrial landowner)', 'nestucca watershed council (watershed council)']"
19970073,"['swcd (Soil & Water Conservation District)', 'nestucca watershed council (watershed council)', 'private landowner (private non-industrial landowner)', 'nrcs (federal agency or jobs program (or ownership))']"
19970074,"['private landowner (private non-industrial landowner)', 'nrcs (federal agency or jobs program (or ownership))', 'swcd (Soil & Water Conservation District)', 'nestucca watershed council (watershed council)']"
19970075,"['private landowner (private non-industrial landowner)', 'nrcs (federal agency or jobs program (or ownership))', 'swcd (Soil & Water Conservation District)', 'nestucca watershed council (watershed council)']"
19970076,"['nrcs (federal agency or jobs program (or ownership))', 'swcd (Soil & Water Conservation District)', 'nestucca watershed council (watershed council)', 'private landowner (private non-industrial landowner)']"
19970077,"['nrcs (federal agency or jobs program (or ownership))', 'green diamond resource company (private forest industrial landowner)', 'nestucca watershed council (watershed council)', 'swcd (Soil & Water Conservation District)']"
19970078,"['private landowner (private non-industrial landowner)', 'nrcs (federal agency or jobs program (or ownership))', 'swcd (Soil & Water Conservation District)', 'nestucca watershed council (watershed council)']"
19970079,"['swcd (Soil & Water Conservation District)', 'private landowner (private non-industrial landowner)', 'nestucca watershed council (watershed council)', 'nrcs (federal agency or jobs program (or ownership))']"
